CODIGO,UBICACION,PRODUCTO,DESCRIPCION,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO,,,,,,,,,
S0016,AREA EX4,ODF,"DISTRIBUIDOR DE FIBRA OPTICA, ODF 48 HILOS",LINKEDPRO,LPODF8048,0,,,,,,,,,,,,
S0017,AREA D,CONECTOR,CONECTORES VERDES PARA FIBRA OPTICA,CROSSOP+,FAC-ASC,1417,283,,,,,,,,,,,
S0018,AREA C,ACOPLADOR,"CONECTOR ACOPLADOR DE FIBRA OPTICA, COLOR VERDE",LINKEDPRO,LPFOAD6077,0,,,,,,,,,,,,
S0019,,SPLITTER,"DIVISOR DE FIBRA FUNDIDA, 5/95",OPTICTIMES,FBT01-2-95/5,0,,,,,,,,,,,,
S0020,AREA H,DIVISOR OPTICO,"DIVISOR OPTICO 1X16 SC/APC, COLORES",FIBERHOME,PLC116SCAPC,7,3,,,,,,,,,,,
S0021,AREA B,SPLITTER,DIVISOR OPTICO 1X2 5/95 SIN CONECTORES,FIBERHOME,SSCA1X213105/9502.4X251M,3,3,,,,,,,,,,,
S0022,AREA B,SPLITTER,DIVISOR OPTICO 1X2 20/80 SIN CONECTORES,FIBERHOME,SSCA1X2131020/8002.4X251M,3,4,,,,,,,,,,,
S0023,AREA B,SPLITTER,DIVISOR OPTICO 1X2 30/70 SIN CONECTORES,FIBERHOME,SSCA1X2131030/7002.4X251M,8,13,,,,,,,,,,,
S0024,AREA B,SPLITTER,DIVISOR OPTICO 1X2131025/7502.4X251M,FIBERHOME,SSCA1X2131025/7502.4X251M,9,,,,,,,,,,,,
S0025,AREA B,SPLITTER,DIVISOR OPTICO 1X2 10/90 SIN CONECTORES,FIBERHOME,SSCA1X2131010/9002.4X251M,4,2,,,,,,,,,,,
S0026,AREA G,ENFRIADOR,ENFRIADOR DE ALMOHADILLA,ICE COREL,,1,EN EL AREA D,,,,,,,,,,,
S0027,AREA EX3,CAJON DE CONECCIÓN,"CAJON DE CONECCIÓN, ELECTRICO",N/A,CACO,1,,,,,,,,,,,,
S0028,AREA A,INTERFACE,"INTERFACE DE URGENCIA PARA PLANTA CON GENERADOR ELECTRICO, GABINETE EN LAMINA DE ACERO AL CRBON, PINTURA COLOR NEGRO, ADAPTABLE EN RACK 19""",EPCOM,PETRANSFER,1,,,,,,,,,,,,
S0029,AREA EX4,CAJA DE DISTRIBUCIÓN,"CAJA DE DISTRIBUCIÓN DE 144 HILOS, ",FIBERHOME,GJS2019,1,,,,,,,,,,,,
S0030,,RADIO ESTACION,RADIO ESTACION BASE AIRMAX AC GFN2 BAST,UBIQUITINETWORKS,RP5ACGEN2,0,,,,,,,,,,,,
S0031,,FLEJADOR,"FLEJADOR MANUAL, PARA FLEJE DE ACERO INOXIDABLE",TELENCO LATAM,WPZJ64253,2,,,,,,,,,,,,
S0032,AREA A ,ROUTEADOR,"TP-LINK, MODEM PARA RED INALAMBRICA, 300 MBPS WIRELES, ANTENA",TP-LINK,TLWR850N,2,5,,,,,,,,,,,
S0033,AREA B,CABLE,CABLE DE ATERRIZAJE RACK / VERDE-AMARILLO,,9493,2,,,,,,,,,,,,
S0034,AREA B,JUMPER,JUMPER 2 METROS PARA CONEXIÓN DIRECTA,UBIQUITINETWORKS,UDC2,2,,,,,,,,,,,,
S0035,AREA G,CINCHO,CINCHO PLASTICO DE 30 CM. ,,,10,,,,,,,,,,,,
S0036,AREA B,CABLE UTP,"CABLE UTP/ AMARILLO, UTP 4/126 CAT5E",OPTRONICS,,5,3,,,,,,,,,,,
S0037,AREA BAJ,CAJA NAP,CAJA NAP 24 FUSIONES,FIBERHOME, ,-94,HAY 36 AREA BAJA,,,,,,,,,,,
S0038,AREA EXT 2,JUMPER,"JUMPER OPTICAL PATCH CORD, SC/APC-SC/APC SM, 2.0MM-3M, CABLE AMARILLO/CONECTOR VERDE",VARIOS,JUP-SC-SC,738,TOTAL 805 (529+195+81 EN CAJAS DISTINTAS),,,,,,,,,,,
S0039,AREA B,JUMPER,"JUMPER OPT.F.O SC/UPC, SC/APC 2M, CABLE BLANCO, CONECTORAZUL/VERDE",VARIOS,ASC/USC,2,132+212 AREA EXT,,,,,,,,,,,
S0040,AREA A,DIVISOR,"DIVISOR 1:8 PLC SPLITTER, CABLE AMARILLO",HUAWEI,NA,1,7,,,,,,,,,,,
S0041,,SWITCH,"ROUTER MIKROTIK HP AC2, 5 PUERTOS GIGABIT ETHERNET, 1 PUERTO USB",MIKROTIK,RBD52G,1,Se coloca atrás del lugar del ing. Cesar,,,,,,,,,,,
S0042,,MICRO SPLITTER,MICRO SPLITTER PLC 1X2 SIN CONECTORES,FIBERHOME,PLC102S,0,9,,,,,,,,,,,
S0043,,CONECTOR,"CONECTOR DE FIBRA OPTICA, VERDE",S/M,S/M,-430,,,,,,,,,,,,
S0044,,ROUTEADOR,"TERMINAL DE RED ÓPTICA (ONT), ALIMENTACIÓN 12VCC/ 1-5A",ZYXEL,PMG5617-T20B,7,,,,,,,,,,,,
S0045,,ROUTEADOR,"MODEM PARA FIBRA OPTICA, ALIMENTACIÓN 12VCC/1A, ONT DUAL BAND 7962V1",PING COMUNICATION,7962V1,0,,,,,,,,,,,,
S0046,,ROUTEADOR,"ROUTER ECHOLIFE HG8145V5, GPON TERMINAL/ SC/APC, PN 5008471",HUAWEI,HG8145V5,-5,,,,,,,,,,,,
S0047,,ROUTEADOR,MODEM PARA INSTALACIONES QUE SE REALIZAN EN PAGOS 245H,HUAWEI,HG8145V5,-2,,,,,,,,,,,,
S0048,AREA C,ROUTEADOR,"ROUTER ECHOLIFE HG8245H, GPON TERMINAL SC/APC, CONSUMO DE ENERGIA S.1834 WH",HUAWEI,ECHOLIFE HG8245H,0,,,,,,,,,,,,
S0049,AREA A,ROUTEADOR,"ROUTER ECHOLIFE, HG8145V5, GPON TERMINAL  SC/APC, ALIMENTACIÓN 12 VcC; 2A,  (1P) P/N 50084771",HUAWEI,ECHOLIFE HG8145V5,-20,25,,,,,,,,,,,
S0050,AREA EX,SUJETADOR ,"SUJETADOR P/CORDON INT-EXT MARFIL, 100 PZS.",AMSA,1000673,650,16,,,,,,,,,,,
S0051,,SUJETADOR ,"SUJETADOR BLANCO STEREN 5404, 100 PZS",STEREN,200-960B,-285,300,,,,,,,,,,,
S0052,,SUJETADOR ,"SUJETADOR BLANCO GRANDE, 100 PZS.",S/N,SGB100,0,,,,,,,,,,,,
S0053,AREA EX,SUJETADOR ,"SUJETADOR BLANCO STEREN 5248, 50 PZS",STEREN,200-960B,-105,58 Y 800 EN EX,,,,,,,,,,,
S0054,AREA EX,SUJETADOR ,"SUJETADOR BLANCO STEREN 5426, 100 PZS",STEREN,300-952B,-369,13 EN AREA C EL RESTO EN EX,,,,,,,,,,,
S0055,,SUJETADOR ,"SUJETADOR BLANCO STEREN 5442, 50 PZS",STEREN,200-960B,0,,,,,,,,,,,,
S0056,,SUJETADOR ,"SUJETADOR BLANCO STEREN 5441, 100 PZS",STEREN,300-952B,0,,,,,,,,,,,,
S0057,,SUJETADOR ,"SUJETADOR BLANCO PEQUEÑO PARA FIBRA ÓPTICA, 100 PZS, GRAPA",S/M,SCB100,-2808,28,,,,,,,,,,,
S0058,,SUJETADOR ,"SUJETADOR NEGRO PEQUEÑO PARA FIBRA ÓPTICA, 100 PZS",S/M,SCN100,300,HAY 200 EN EL AREA B,,,,,,,,,,,
S0059,,SUJETADOR ,"SUJETADOR NEGRO GRANDE 5438, 100 PZS",STEREN,200-960N,0,,,,,,,,,,,,
S0060,AREA EX,CINCHO,"NYLON CLABE TIE / SIZE 3.6X150MM, 100 PZS",NYLON CABLE TIE,NCT36150,700,7,,,,,,,,,,,
S0061,AREA EX,CINCHO,"CINCHO DE NYLON 3.6X140MM, 100 PZS",CABLE TIE,CT36140,900,10,,,,,,,,,,,
S0062,AREA EX,CINCHO,"CINCHO SUJETABLE CORTO, NEGRO 150 MM, 100 PZS",STEREN,TY24NE,980,13,,,,,,,,,,,
S0063,,CINCHO,"CINCHO VELCRO SUEJTABLE 3/4X8 NEGRO, 10 PZS",AVANCEL,SKU16114,0,,,,,,,,,,,,
S0064,AREA B,CINCHO,"CINCHO SUJETABLES DE VELCRO NEGRO 1,2 CM DE ANCHO X 20 CM DE LARGO, 10 PZS",STEREN,400-150,26,27,,,,,,,,,,,
S0065,AREA D,ALCOHOL,ALCOHOL / ISOPROPILICO 98% PUREZA 500 ML,MEXFOSERV,FOS-ALCOHOL,27,22,,,,,,,,,,,
S0066,AREA EX3,PAÑOS,"PAÑOS / TOALLA PARA TAREAS DELICADAS, KIMWIPES, KIMTECH",KIMBERLY-CLARK,34155,6426,,,,,,,,,,,,
S0067,,SUJETADOR ,SUJETADOR NEGRO GRANDE 100 PZS,S/N,SGN100,100,,,,,,,,,,,,
S0068,,SUJETADOR ,"SUJETADOR NEGRO  PEQUEÑO PARA FIBRA ÓPTICA, 100 PZ",AMSA,1036183,100,,,,,,,,,,,,
S0069,,TELEFONO,"TELEFONO IP, EMPRESARIAL PARA 4 LINEAS, ENTRADA 50-60 HZ 0.04 A, 31.6 W",FANVIL,X3SP,0,,,,,,,,,,,,
S0070,AREA E,ROUTEADOR,"MODEM PARA FIBRA OPTICA, BLANCO",PING COMUNICATION,7969v1,6,Atrás del Ing. Cesar,,,,,,,,,,,
S0071,AREA B,PINZAS,"DESFORRADORA PARA CABLE TIPO DROP, VERDE",SBE TECH,SBE-DESFORDROPM,3,,,,,,,,,,,,
S0072,,PINZAS,"PINZA PELACABLES CON PROBADOR DE CABLE PARA UTP/STP, ENCHUFE",CRIMP-N-TEST,,0,,,,,,,,,,,,
S0073,AREA D,CONECTOR,"CONECTOR PREPULIDO SC/APC, COLOR VERDE",MEXFOSERV,S/M,72,116,,,,,,,,,,,
S0074,AREA A,LIMPIADOR DE FIBRA,"LIMPIADOR DE FIBRA OPTICA CS/ST/FC. 2.5 MM, 5C 5(APC-UPC)",ONE-CLICKCLEANER,,1,,,,,,,,,,,,
S0075,,CONVERTIDOR,"CONVERTIDO DE MEDIOS GIGABIT, FIBRA OPTICA CONVERTIDOR DE MEDIOS DE FIBRA OPTICA",NEL LINK,,0,,,,,,,,,,,,
S0076,AREA E,LIMPIADOR DE PANTALLAS,"LIMPIADOR DE PANTALLA/MICROFIBRA 50X30 CM, SOLUCIÓN LIMPIADORA 150",OFFICEDEPOT,SKU93052,1,,,,,,,,,,,,
S0077,AREA B,COPLE,"COPLE HDMI, COLOR NEGRO",STEREN,203-820,1,,,,,,,,,,,,
S0078,,PINZAS,"PELADORA PARA FIBRA ÓPTICA AF-003, MARILLO Y NEGRO",,,0,,,,,,,,,,,,
S0079,,CINTA LAMINADA,CINTA LAMINADA PAA USO EXTERIOR  E INTERIOR,BROTHER,TZE-231,10,,,,,,,,,,,,
S0080,AREA E,CASETTE DIVISOR OPTICO,SC/UPC 1:8 SPLITTER 45200293,HUAWEI,P-1008-P-A-SA-,1,,,,,,,,,,,,
S0081,,SPLITTER,"SPLITTER 1X8, SIN CONECTOR, TEST REPORT, DE PRIMER NIVEL, COLORES",CROSSOP+,G20C-108N,1,0,,,,,,,,,,,
S0082,AREA B,SPLITTER,"SPLITTER 1X8 SIN CONECTORES, COLORES",NA,NA,-1,5,,,,,,,,,,,
S0083,,PLC SPLITTER,"1X8 PLC SPLITTER, IN SPECTION REPORT, CON CONECTOR, PARA NAPS, CABLE BLANCO",ZTT,CB21050072,1,,,,,,,,,,,,
S0084,AREA H,SPLITTER,"1X8 PLC SPLITTER, DIVISOR ÓPTICO, 1X8 CONECTORES, COLORES",FIBERHOME,,-14,6,,,,,,,,,,,
S0085,,SPLITTER,"SPLITTER 1X8, TEST REPORT, CON CONECTOR",CROSSOP+,G15F-108A,5,1,,,,,,,,,,,
S0086,,ACOPLADOR,"ACOPLADOR VERDE, ADAPTADOR OPTIO",OPTICTIMES,SC/APC-SX,2950,23 EN EL AREA E,,,,,,,,,,,
S0087,AREA H,SPLITTER,"1X8 PLC SPLITTER, TEST SHEE, CONECTOR TIPO SC/APC, CON CONECTOR, CABLE BLANCO",YOFC,DIVISOR N2 1:8,19,,,,,,,,,,,,
S0088,,ROUTER,ROUTER DUAL CORE HEX 760,MIKROTIK,RB760iGS,2,Atrás del Ing. Cesar,,,,,,,,,,,
S0089,AREA E,GRAPA,"GRAPA PARA CABLE REDONDO 7-10 CALIBRE 12 COAXIAL, USO RUDO CLAVO 100 PZS",S/N,GR12,-60,45 EN EL  AREA D,,,,,,,,,,,
S0090,AREA E,LLAVES,"LLAVE 1/2""",CROMO VANADIO,VARIOS,1,,,,,,,,,,,,
S0091,AREA E,PINZAS,"PINZA MINI ELECTRICISTA 5"" 12.5 MM, AZUL CON NEGRO",TOOLS,Ep-25p,1,,,,,,,,,,,,
S0092,,ALICATE,PELA CABLE UNIVERSAL GRIS,,Ht-S51a,0,,,,,,,,,,,,
S0093,AREA E,TERMINAL,TERMINAL PARA DISTRIBUIR CORRIENTE,SAXXON,T8DCAC,1,,,,,,,,,,,,
S0094,AREA B,CABLE,"CABLE SATA PODER Y DATOS, COLOR ROJO",ESATA,S/N,4,,,,,,,,,,,,
S0095,,CINTA,CINTA VULCANIZADORA,S/N,CVN,433,,,,,,,,,,,,
S0096,,BROCHA,"BROCHA COLOR GUINDA 12""X50.8 MM",BROTIMEX,,0,,,,,,,,,,,,
S0097,AREA B,PINZAS,"DESFORRADORA DE FIBRA ÓPTICA DE PRECISIÓN PROGRIP 3 TIEMPOS, NARANJA Y NEGRA",PALADIN,PA1177,1,,,,,,,,,,,,
S0098,,DESARMADOR,"DESARMADOR 1/8""X4"" ROJO CON AMARILLO",TRUPER,S/N,2,,,,,,,,,,,,
S0099,,LLAVES,JUEGO DE 13 LLAVES ALLEN MILIMETRICAS,TRUPER,15542,0,,,,,,,,,,,,
S0100,AREA B,CONECTOR,SINGLE CHANNEL HD PASSIVE VIDEO BALUN,EPCOM TITANIUM,TT101FTURBO,4,HAY 7,,,,,,,,,,,
S0101,AREA D,CONECTOR,"CONECTOR CON CHAPA DE ORO A 30 MICRAS, PLUG MODULAR RJ-45 ",LINKEDPRO,TC5-100,-231,116,,,,,,,,,,,
S0102,,FIBER MODULO SFP,"SINGLE-MODE, 1G, BIDI",UBIQUITINETWORKS,UFSM1GS,0,,,,,,,,,,,,
S0103,AREA E,ADAPTADOR,"ADAPTADOR S-RJ01, SFPTORJ45, 1 G, ETHERNET",MIKROTIK,S-RJ01,-2,,,,,,,,,,,,
S0104,AREA A,PELADORA,"DESFORRADORA LONGITUDINAL DE FIBRA ÓPTICAL DROP TCD-CS, NARANJA",PALADIN,TCD-CS,1,,,,,,,,,,,,
S0105,,TELEFONO CELULAR,"TELEFEONO CELULAR COLOR AZUL, ZTE BLADES A5 64GB, INCLUYE: ADAPTADOR DE CORRIENTE CA/CC, BATERIA RECARGABLE(INTERNA), AUDIFONOS MANOS LIBRE, CABLE USB",ZTE,ZTEBLADE-A52020,0,,,,,,,,,,,,
S0106,,ADAPTADOR,ADAPTADOR FUENTE DE PODER SV,EPCOM POWER LINE,P5DC1A,1,,,,,,,,,,,,
S0107,AREA B,CABLE,"CABLE DE CONSOLA, PARA OLT, CABLE AZUL",CSA,P120108 226,1,,,,,,,,,,,,
S0108,AREA B,PELADOR,"PELADOR DE REVESTIMIENTO 3 EN 1, PARA DESFORRAR CUBIERTA DE PVC 144H, AMARILLO/NEGRO",MEXFOSERV,FTO-144H,3,,,,,,,,,,,,
S0109,,PELADOR ,"PELADOR DE REVESTIMIENTO 3 EN 1, PARA DESFORRAR CUBIERTA DE PVC 375",JONARDTOOLS,JIC-375,4,,,,,,,,,,,,
S0110,,CORTADORA,"ACCESS TOOL/ CORTADORA LONGITUDINAL PARA FIBRA, TUBE BUFFER MID.SPAN ",LIFETIME,AUA-05-LOOSE ,0,,,,,,,,,,,,
S0111,,ROUTER,"ROUTER RB, HEX SERIES",MIKROTIK,RB750GR3,1,Se coloca atrás del lugar del ing. Cesar,,,,,,,,,,,
S0112,,SWITCH,"CLOUD SWITCH SERIES, 5-PORTDESK CRS305-1G-45+IN, COLOR GRIS CON CARGADOR",MIKROTIK,CRS305IG45IN,5,Se coloca atrás del lugar del ing. Cesar,,,,,,,,,,,
S0113,AREA B,PELADORA,FIBEROPTICS STRIPPER,STRIPPER,CFS,3,,,,,,,,,,,,
S0114,AREA E,JUEGO DE DESARMADORES,"DESARMADOR 3/16""X4""/ 2X4"" / 2X16""X4 / 1X3"", 1/4"" X16",TRUPER,,3,,,,,,,,,,,,
S0115,AREA B,PINZA PONCHADORA,"PINZA PROFESIONAL PONCHADORA, PARA CONECTORES RJ45 DE 8 CONTACTOS",STEREN,HER-358,3,1 VERIFICAR SI SIRVE,,45175,,,,,,,,,
S0116,,SWITCH,CLOUD CORE SWITCH DE 6 PUERTOS SFP,MIKROTIK,CRS1061C5S,2,Se coloca atrás del lugar del ing. Cesar,,,,,,,,,,,
S0117,AREA P2,POE,"Adaptador PoE Ubiquiti de 24 VDC, 0.5 A, compatible con airGateway",UBIQUITINETWORKS,POE2412W,5,4,,,,,,,,,,,
S0118,,SPLITTER,SPLITTER G20C,CROSSOP+,G20C-108N,0,,,,,,,,,,,,
S0119,AREA EXT,TELEFONO,"TELEFOFNO FIJO, FUENTE DE ENERGIA 48V124V",PANASONIC,KX-TS500ME,2,1 EN AREA,,,,,,,,,,,
S0120,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP, 5E CABLE, 305 M, ANSI/ TIA-568-C2, U/UTP 350MHZ, LENGTH:1000 FI",OPTICTIMES,150/IEC11801,0,,,,,,,,,,,,
S0121,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E, BLANCO UNFORRO, 305 M./ 2.50BCX2X4 PVC",ROAN OPTICAL,UTP CABLE TX-624A 6039-2,0,1 EN EL EXT JUNTO A LAS CAJAS NARANJAS,,,,,,,,,,,
S0122,AREA EX1,CABLE DE UTP,"Cable tipo EKTEL de 2 pares, Categoría 2, calibre 24 AWG, en color gris, útil para transmisión de voz y datos a baja velocidad.",S/N,24AWG,1,,,,,,,,,,,,
S0123,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP, 1000FT, 305 M.",CROSSOP+,24AWGX4P,1,,,,,,,,,,,,
S0124,AREA EX1,FLEJE,"FLEJE DE ACERO COLOR AZUL, 30 M.",PANDUIT,ESW16T76-CR2,-1,,,,,,,,,,,,
S0125,AREA EX1,FLEJE,FLEJE DE ACERO,GT NETWORKS,,0,,,,,,,,,,,,
S0126,AREA EX1,FLEJE,"FLEJE DE ACERO INOXIDABLE 201 DE 5/8""X0.30"", 1RL 305 M",AVANCEL,413,0,,,,,,,,,,,,
S0127,AREA EX1,FLEJE,FLEJE DE ACERO INOXIDABLE ,AERIALGRIP,,2,,,,,,,,,,,,
S0128,AREA EX1,MANGUERA,MANGUERA NEGRA,,,48,,,,,,,,,,,,
S0129,AREA EX1,FLEJE,"FLEJE DE ACERO 5/8"", 16mmX30 m. / AZUL",GT NETWORKS,GNT-FA-3058,1,,,,,,,,,,,,
S0130,AREA EX2,TENSORES,CAJA DE TENSORES DE 50 PZS,TENSION CLAMP,JJ-FTC03,895,,,,,,,,,,,,
S0130,AREA EX4,TENSORES,CAJA DE TENSORES DE 50 PZS,TENSION CLAMP,JJ-FTC03,1500,,,,,,,,,,,,
S0131,AREA EX1,ANTENA,"ANTENA POWERBEAM AIRMAX, HASTA 150 MBPS",UBIQUITINETWORKS,PBEM5300,10,,,,,,,,,,,,
S0132,AREA EX2,CIERRE,"CIERRE LUCIERNAGA P/EMP CABLE DE FIBRA ÓPTICA FO  WPT, KIT",COMMSCOPE,FFD200LX-T,4,,,,,,,,,,,,
S0133,AREA EX2,FACEPLATE,FACEPLATE DOBLE BLANCO,PANDUIT,NK2FWHY,0,,,,,,,,,,,,
S0134,AREA EX2,FACEPLATE,FACEPLATE BLANCO NK1,PANDUIT,NK1FWHY,0,,,,,,,,,,,,
S0135,AREA EX2,FACEPLATE,FACEPLATE BLANCO LPF,LINKEDPRO,LPFP22,2,,,,,,,,,,,,
S0136,AREA D,FACEPLATE,FACEPLATE 1 PORT BLANCO,LINKEDPRO,LPFP21,2,,,,,,,,,,,,
S0137,AREA EX2,CHASIS,"CHASIS Y PLACA BLANCO, TCTE DUPLEX 2PTP",SIMON,25424,2,,,,,,,,,,,,
S0138,AREA EX2,FACEPLATE,FACEPLATE BLANCO 9L,OPTRONICS,9L84,4,,,,,,,,,,,,
S0139,AREA EX2,FACEPLATE,FACEPLATE BLANCO TP8,TRADEMASTER,TP8-W,1,,,,,,,,,,,,
S0140,AREA EX2,FACEPLATE,FACEPLATE BLANCO LPF/ PLACA PARA PARED DE 4 PUERTOS PARA JACK RJ45,LINKEDPRO,LPFP24,1,,,,,,,,,,,,
S0141,AREA EX2,TAPA CIEGA,TAPA CIEGA BLANCO 146,BTICINO,EDO5146,1,,,,,,,,,,,,
S0142,AREA EX2,PLACA CIEGA,PLACA DE PLASTICO CIEGA,VOLTECH,PPC-1B,0,,,,,,,,,,,,
S0143,AREA EX2,PLACA CIEGA,PLACA CIEGA BLANCO 256,SIMON,25600,0,,,,,,,,,,,,
S0144,AREA EX2,FACEPLATE,FACEPLATE 3 NEGRO,BTICINO,,2,,,,,,,,,,,,
S0145,AREA EX2,FACEPLATE,FACEPLATE NEGRO,BTICINO,,2,,,,,,,,,,,,
S0146,AREA EX2,TAQUETE,TAQUETE DE PLASTICO CAFÉ TEIMEX,TEIMEX,1000337,0,,,,,,,,,,,,
S0147,AREA EX3,TAQUETE,TAQUETE DE PLASTICO CAFÉ FIERO,FIERO,TAQ-5116P,0,,,,,,,,,,,,
S0148,AREA EX3,TAQUETE,"TAQUETE DE PLASTICO, COLOR GRIS DE 30 MM,  1/4""",TOOLCRAFT,TC2872,71,,,,,,,,,,,,
S0149,AREA EX2,TAQUETE,SELLOS PASAMUROS,TEIMEX,1044277,262,,,,,,,,,,,,
S0150,AREA EX3,MENSULAS,MENSULAS NEGRAS,,,0,,,,,,,,,,,,
S0151,AREA EX3,SOPORTE,SOPORTE LATERAL BLANCO,,,0,,,,,,,,,,,,
S0152,AREA EX3,TENSORES,TENSOR DE GANCHO PARA CORDON DE ACOMETIDA OPT 3mm,,,0,,,,,,,,,,,,
S0153,AREA EX3,TENSORES,TENSOR DE GANCHO PARA CORDON DE ACOMETIDA OPT 3mm 272,AMSA,1038272,135,,,,,,,,,,,,
S0154,AREA EX3,TENSORES,TENSOR DE GANCHO PARA CORDON DE ACOMETIDA OPT 3mm 425,AMSA,1000425,1500,,,,,,,,,,,,
S0155,AREA EX3,ARGOLLA,"ARGOLLA PARA CORDON DE ACOMETIDA, PARA ANTENA , ARMELLA",ALSAN,,290,1663,,,,,,,,,,,
S0156,AREA EX4,SOPLADORA,SOPLADORA COLOR VERDE CON NEGRO,MAKITA,PA6-GF30,1,,,,,,,,,,,,
S0157,AREA EX3,GARROCHA,GARROCHA SENCILLA AZUL,,,0,,,,,,,,,,,,
S0158,AREA EXT,SALCHICHA,SALCHICHA / CIERRE CONEX BAJANTE OPTICA ACOP OPTISC-SC,CORMAC,1035043,40,,,,,,,,,,,,
S0159,AREA EX3,VALVULA,VALVULA DE ALTA PRESION ,TRUPER,,0,,,,,,,,,,,,
S0160,AREA EX3,ESCUADRA,ESCUADRA MAGNETICA,TRUPER,,0,,,,,,,,,,,,
S0161,AREA EX3,RODILLO,RODILLO PARA PINTAR,,,1,,,,,,,,,,,,
S0162,AREA EX3,DISCO DE CORTE,"DISCO DE CORTE 350X3X25, 40 mm 14X1/8X1",AUSTROMEX,A30PBF-HUM,1,,,,,,,,,,,,
S0163,AREA EX4,MALETIN CON BROCAS,"MALETIN CON BROCAS DE: 1/2X6 TRUPER, 5116 HILTI, 1"" MAKITA, 3/8 BOSCH, 5/16 MAKITA, PUNTA SINCEL, TAQUETES EXPANSIVOS 2 PES",,,-1,HAY 1 EN AREA Ex3,,,,,,,,,,,
S0164,AREA EX3,CARTUCHO DE GAS,CARTUCHO DE GAS BUTANO/ PROPANO,LINMEX,,0,,,,,,,,,,,,
S0165,AREA EX3,CIERRE,CIERRE DE EMPALME DE FIBRA ÓPTICA DE 96,YOFC,GJS-6020-96,1,,,,,,,,,,,,
S0166,AREA EX4,RELIABLE,REALIABLE,,,0,,,,,,,,,,,,
S0167,AREA EX4,TORTUGAS,MALICON TORTUGAS,,,650,,,,,,,,,,,,
S0168,AREA EX4,NEOPRENO,"NEOPRENO AISLANTE DE 1/4, 10 MTS",INCOM,NPS51L4,0,,,,,,,,,,,,
S0169,AREA EX3,PISTOLA,PISTOLA CALAFATEADORA,TRUPER,,1,,,,,,,,,,,,
S0170,AREA EX4,ESTANCA,ESTANCA CON CONOS CIERRE A,GEWISS,GW44004,0,,,,,,,,,,,,
